project,url
24 Pull Requests, https://github.com/24pullrequests/24pullrequests
A/B Tester, https://github.com/gabrieltempass/ab-tester
AASM, https://github.com/aasm/aasm
AB3C, https://ab3c.org.br/
ACM-W NITK, https://github.com/acm-w-nitk/acm-w-nitk.github.io
Actionhero, https://www.actionherojs.com/
Active Admin, https://github.com/activeadmin/activeadmin
ActsAsTextcaptcha, https://github.com/matthutchinson/acts_as_textcaptcha
Airbnb, https://airbnb.io/codeofconduct/
Algorithm Archive, https://github.com/algorithm-archivists/algorithm-archive
Algorrent, https://github.com/algorrent/algorrent
All Algorithms, https://github.com/AllAlgorithms/algorithms
Amsterdam.rb, https://amsrb.org/code-of-conduct/
Ancient Beast, https://AncientBeast.com
Android IMSI-Catcher Detector, https://github.com/CellularPrivacy/Android-IMSI-Catcher-Detector
angular-formly, https://github.com/formly-js/angular-formly
APInf, https://github.com/apinf/platform
AppSignal, https://docs.appsignal.com/appsignal/contributing/code-of-conduct.html
ArchiSteamFarm, https://github.com/JustArchiNET/ArchiSteamFarm
Asqatasun, https://gitlab.com/asqatasun/Asqatasun
AVA, https://github.com/avajs/ava
Avanade, https://github.com/Avanade
Backlight deb packages, https://github.com/gorlapraveen/blacklight-deb-packages
Baleen CLI, https://github.com/baleen/cli
Baleen Migrations, https://github.com/baleen/migrations
BcnEng, https://bcneng.org
Beagle Framework,https://github.com/ZupIT/beagle
Bearsampp, https://bearsampp.com/code-of-conduct
Begynner, https://github.com/marcker/begynner
Bionode, https://www.bionode.io/
BioSigKit, https://github.com/hooman650/BioSigKit
bitmath, https://github.com/tbielawa/bitmath/
BootstrapVue, https://github.com/bootstrap-vue/bootstrap-vue
BoxBilling, https://boxbilling.org/
Bridge.NET, https://bridge.net/
Brighter, https://github.com/BrighterCommand/Brighter
brightness_bashshell_script, https://github.com/gorlapraveen/brightness_bashshell_script
Bundler, https://github.com/rubygems/bundler
c-3po, https://c-3po.js.org/
Cake, https://cakebuild.net/
Calypso (WordPress.com), https://github.com/Automattic/wp-calypso
Celluloid, https://github.com/celluloid/celluloid
Cesium, https://github.com/CesiumGS/cesium
Chalk, https://github.com/chalk/chalk
Changelog.com, https://changelog.com/
CHAOSS Project, https://chaoss.community/
CharlesCD,https://github.com/ZupIT/charlescd
Chatwoot, https://www.chatwoot.com/docs/contributing-guide/code-of-conduct
Checkstyle for Haxe, https://github.com/HaxeCheckstyle/haxe-checkstyle
City of Sault Ste. Marie, https://github.com/cityssm
clearwater.rb, https://github.com/clearwater-rb/clearwater
Climate Equity Reference Calculator, https://github.com/climateequityreferenceproject/cerc-web
Cloud Native Compute Foundation, https://www.cncf.io/
CloudI, http://cloudi.org/faq.html#2_CodeOfConduct
Codebridge, https://github.com/codebridge-za
CodeBuddies, https://github.com/codebuddies/codebuddies
Coding Coach, https://github.com/Coding-Coach/coding-coach
Compose Generator, https://github.com/compose-generator/compose-generator
composer, https://github.com/composer/composer
comptoir-du-libre, https://gitlab.adullact.net/Comptoir/Comptoir-srv
concurrent-ruby, https://github.com/ruby-concurrency/concurrent-ruby
conduct, https://github.com/sindresorhus/conduct
Contrast-Finder, https://github.com/Asqatasun/Contrast-Finder
Crackle, https://github.com/jordanekay/Crackle
Create React App, https://github.com/facebook/create-react-app
